RANK,Name,POS,ADP,BYE,NOTES,gFAN PTS,gYDS Passing,gTDS Pass,gREC Receiving,gYDS  Recieiving,gTDS Reciieving,gATT rushing,gDS rushing,gTDS rushing,yFAN PTS,yYDS Passing,yTDS Pass,yREC Receiving,yYDS  Recieiving,yTDS Reciieving,yATT rushing,yYDS rushing,yTDS rushing
11,Clyde Edwards-Helaire KC ,RB10,11.4,10,"I had Edwards-Helaire as my top running back in this year‘s class due to the way he fits the NFL today. He‘s a true three-down back who can catch 80-plus passes out of the backfield, while running for 1,000-plus yards. Landing with the Chiefs was a dream scenario, especially in the first round. Over the last seven years, running backs who‘ve been drafted in the first round have averaged 280.7 touches in year one. 75 percent of them have finished as an RB2 or better. Don‘t think this is Darwin Thompson all over again, as he was a sixth-round pick last year, and those average just 29.8 touches in year one. This is Edwards-Helaire‘s backfield after Andy Reid said he‘s better than Brian Westbrook on film. You don‘t take those players off the field very often. He‘s worth a second-round pick and would be a steal in the third round.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Davante Adams GB ,WR2,12.5,5,"I‘m convinced that because Adams missed part of the 2019 season, many don‘t realize just how consistent he‘s been over the last few years. He‘s played 27 games over the last two years, and he‘s scored 16-plus PPR points in 23 of them. The Packers didn‘t add a wide receiver in the draft, so it‘s not likely his massive target-share is going away. He‘s the only other receiver who should be considered close to Michael Thomas in drafts.",10.8,0,0,6.9,83.1,0.4,0,0,0,129.7,0,0,83,997,5,0,0,0
13,Tyreek Hill KC ,WR3,14.4,10,"He‘s a very good football player and one who can help you win fantasy weeks... but is he a No. 1 wide receiver on fantasy teams? In my Boom, Bust, and Everything In Between series, I highlighted the fact that he‘s been a WR2 or better in just 44.1 percent of his career games, while someone like Julio Jones has posted WR1 numbers in 42.4 percent of his games. Hill averaged just 7.4 targets per game last year, a number that will need to come up for him to be a more consistent fantasy option. Can it happen? Absolutely. The addition of Clyde Edwards-Helaire will not help that, nor will the supposed increase in Mecole Hardman offensive snaps. There were just two games in 2019 where Hill saw double-digit targets, which again, limits his consistency. By comparison, Davante Adams has averaged 11.0 targets per game over the last two years while Julio Jones saw 10-plus targets in 7-of-15 games in 2019. If you want to draft Hill as your WR1, I have no issue with it, but understand that you‘ll need to balance your roster throughout the remainder of the draft. Robert Woods is someone that immediately comes to mind as consistent and reliable, and would make a perfect complement to someone like Hill.",10.9,0,0,4.8,71.7,0.6,0.7,1.9,0,130.3,0,0,58,860,7,8,23,0
14,Julio Jones ATL ,WR4,15.2,10,"Fade aging wide receivers, they said. Julio laughs as he posted his sixth straight season with more than 1,390 yards. He still has just one season under his belt with double-digit touchdowns, which is quite ridiculous when you consider he‘s had three seasons with 1,500-plus yards. He‘s as safe as they come at the wide receiver position. Think 31 years old is too old? Check out this piece on what age a wide receiver declines. There are a lot of fantasy owners drafting Tyreek Hill over him, and while I understand the upside Hill presents on a weekly basis, Jones presents stability that Hill can only dream of. Hill has posted WR2 or better numbers in 21-of-43 games (48.8 percent) over his career. Meanwhile, Jones has hit that mark in 64.8 percent of his career games and has posted WR1-type numbers in 42.4 percent of them. Sure, Calvin Ridley is going to ascend, but a lot of his ascension comes from the missing targets from Mohamed Sanu. Jones should be the No. 3 wide receiver off draft boards, at worst.",11.7,0,0,6.6,92.9,0.4,0.1,-0.2,0,175.1,0,0,99,1394,6,2,-3,0
15,Miles Sanders PHI ,RB11,17.2,9,"We all know Doug Pederson has loved his timeshares since coming to the Eagles, and after they moved on from Jordan Howard, many expected them to add a running back in the draft. Things can change, as there are a few free agent running backs out there, but for now, Sanders has the looks of a 15-plus touch running back.",10.5,0,0,3.1,31.8,0.2,11.2,51.1,0.2,168.7,0,0,50,509,3,179,818,3
16,Aaron Jones GB ,RB12,17.5,5,"Despite having Aaron Rodgers under center, the Packers decided to add a third-string running back and fullback to their roster on Day 2 of the NFL Draft. Is that worrisome to Jones’ production? Maybe a bit, as Matt LaFleur seems to want to continue his timeshare ways. Jones is by far the most talented, so even if we were to see him dip down to 13-15 touches per game, that‘s enough for him to do damage, especially considering Rodgers targets him in the passing game. Jones is one of just two running backs (Alvin Kamara is the other) who‘ve finished with a top-30 season over the last 10 years with less than 300 touches. Jones is one of the most efficient running backs in football, though the coaching staff keeps him in RB2 territory.",16.6,0,0,3.1,29.6,0.2,14.8,67.8,1,265.8,0,0,49,474,3,236,1084,16
17,Travis Kelce KC ,TE1,18.3,10,"It‘s now been four straight seasons where Kelce has finished with 1,000-plus yards. He‘s as safe as they come and should still be in the prime of his career at 30 years old. Patrick Mahomes took a step back in terms of touchdown percentage in 2019, but could very well bounce back to elite levels in 2020, giving Kelce consideration as a second-round pick in fantasy drafts. If you have “your guys” in the middle rounds, Kelce makes sense as an early-round pick. He‘s now posted TE1-type numbers in 28-of-32 games over the last two years. It also helps when you see 41.4 percent of your team‘s targets inside the 10-yard line, like Kelce did in 2019.",9.8,0,0,6.1,76.8,0.3,0.1,0.3,0.1,157.3,0,0,97,1229,5,1,4,1
18,George Kittle SF ,TE2,19.6,11,"He‘s just 26 years old and coming off 2,430 yards and 10 touchdowns over the previous two seasons despite missing two full games. Keep in mind that he was playing through injuries much of last season. The defense is surely going to take a slight step back in 2020, which will lead to more pass attempts, which will lead to more targets. The 49ers added Brandon Aiyuk who‘ll help stretch the field, which should in turn just open things a bit more for Kittle. His arrow continues to point up. The touchdowns may not match those of Travis Kelce, but we know not to rely on consistency in that department.",9.8,0,0,6.1,75.2,0.4,0.4,1.6,0,137.5,0,0,85,1053,5,5,22,0
19,Kenyan Drake ARI ,RB13,19.9,8,"It‘s crazy to see Kenyan Drake not getting the respect he deserved when he performed the way he did under Kliff Kingsbury last year. Since coming over in Week 9, he was the No. 4 running back through the remainder of the fantasy season, and the Cardinals liked him enough to move on from David Johnson and not draft a running back until the seventh round.",11.7,0,0,3.6,24.6,0,12.1,58.4,0.6,164.2,0,0,50,345,0,170,817,8
20,Chris Godwin TB ,WR5,21,13,"NextGenStats tracks each player‘s usage and routes throughout every game, and I wish I could remember who posted it, but Godwin‘s routes were essentially the same exact ones that Bruce Arians used for Larry Fitzgerald back in Arizona. That‘s a very good thing. I want to do an exercise with you. Close your eyes and imagine Tom Brady dropping back to pass. What do you see? Do you see him muscling a pass towards the sideline? I didn‘t think so. I also saw him targeting a receiver over the middle of the field. Godwin played 63.4 percent of his snaps last year in the slot. He was second in the league in slot yards (838) behind only Cooper Kupp, and despite seeing 31 fewer slot targets than Kupp, he only finished with 15 fewer yards and the same number of touchdowns. Godwin‘s average depth of target was 10.4 yards last year while Mike Evans’ was 15.3 yards. The average depth of target for Brady last year was 7.6 yards down the field. It‘s clear that Godwin should quickly become a favorite of Brady, who hates to take risks, as Godwin is a better separator than Evans. Believe it or not, there‘s a clear path for Godwin to finish as the WR1 in 2020. I don‘t say that about many receivers. He‘s in the tier immediately after Michael Thomas, Davante Adams, and Julio Jones.",13.6,0,0,6.1,95.2,0.6,0.1,0.6,0,190.1,0,0,86,1333,9,1,8,0
21,Kenny Golladay DET ,WR6,23.7,5,"We‘ve watched Golladay ascending into the clear-cut No. 1 role in the Lions offense, and even though he did finish as the No. 6 wide receiver in 2019, there‘s still some meat left on the bone. Matthew Stafford went down in Week 9 last year. Golladay had four games with 23-plus PPR points with Stafford in the lineup, and just one game with more than 18 PPR points without him. If Stafford can stay healthy, Golladay should return WR1 numbers.",11.4,0,0,4.1,74.4,0.7,0,0,0,183,0,0,65,1190,11,0,0,0
22,DeAndre Hopkins ARI ,WR7,24.4,8,"Did you know Hopkins hasn‘t seen less than 150 targets since way back in 2014? Now going to a Cardinals team with Christian Kirk and Larry Fitzgerald, it‘s unlikely he reaches that mark. The odd offseason also hasn‘t given him a lot of time with new quarterback Kyler Murray. From reports, the first time the duo got together was at the end of June. Is that enough time to develop any sort of chemistry? Hopkins has played with a lot of bad quarterbacks in his time, though the only one who held him back from producing was Brock Osweiler, as Hopkins finished as the No. 29 wide receiver in 2016 despite seeing 151 targets. Murray‘s rookie season wasn‘t particularly efficient (both Fitzgerald and Kirk saw over 105 targets but outside the top-36 wide receivers), but we should expect growth in year two. There is a scenario where Hopkins is a rock-solid player but not a top-five fantasy receiver, however, given his history of producing with guys like Tom Savage, TJ Yates, and Brian Hoyer, I‘m giving him the benefit of the doubt. Still, his targets will take a hit, making him a second-round pick rather than the first-round one he‘s been.",11,0,0,6.9,77.7,0.5,0.1,1.2,0,165.54,0,0,104,1165,7,2,18,0
23,Austin Ekeler LAC ,RB14,25.3,10,"After seeing Ekeler‘s contract extension this offseason, it seemed a little light for a workhorse, leading many to believe they‘d draft a running back early on. They waited until the fourth round to select UCLA‘s Joshua Kelley, who‘s a bigger complementary back. The Chargers offense isn‘t likely going to be as high scoring as it was with Philip Rivers under center, but Ekeler remains the top dog in the backfield. Still, don‘t just anticipate this offense is going to be as potent, or that he‘ll have as many scoring opportunities, which is why he‘s best-suited as a high-end RB2 than an RB1.",13.6,0,0,5.8,62.1,0.5,8.3,34.8,0.2,217,0,0,92,993,8,132,557,3
24,Patrick Mahomes KC ,QB1,26.7,10,"If you invested a first-round pick in Mahomes last year, you weren‘t happy with the results. In games he started, he posted QB1-type numbers in just 57.1 percent of them. However, there were some factors to take into consideration. One, he was going to regress. Two, he suffered an injury during the Week 7 game against the Broncos that seemed to affect him throughout the remainder of the regular season. In the seven games following that injury, he threw for three touchdowns just once, while throwing for more than 283 yards just twice. Was that a sign of things to come? Probably not considering he threw for 901 yards and 10 touchdowns in three playoff games. You must ask yourself, “What‘s the worst/best-case scenario with Mahomes?"" prior to drafting him. Worst case was probably last year, where he was the No. 52 value-based player. That means if we‘d drafted 2019 all over again, his value would‘ve been correct as the 52nd player selected, so a fifth-round pick. Best case scenario is that he finishes as the No. 5 value-based player like he did in 2018. If you‘re somewhere in the middle, he‘s still worth a third-round pick with upside for more. Most of the time with Mahomes, it all just depends on your particular draft, as there are some who‘ll see him go in the first round of their 1QB league. You‘re baking in too much risk there. As a late-second, early-third round pick, you have some room for growth. Anything beyond that is just a steal. With the lack of offseason, it‘ll affect defenses more than it will offenses, so we could see a record-breaking year for Mahomes.",20.9,287.9,1.9,0,0,0,3.1,15.6,0.1,292.04,4031,26,0,0,0,43,218,2
25,Mike Evans TB ,WR8,28.2,13,"There are a lot of people who‘ll point out the fact that Evans finished as a WR1 in 2019 despite missing three games. Well, I hate to break it to you, but he was not a WR1 in terms that actually matter to you, the fantasy player. Despite averaging an elite 9.1 targets per game, Evans posted WR2 or better-type numbers in just 38.5 percent of his games. That ranked 28th among wide receivers. Seriously, guys like Sterling Shepard, Cole Beasley, and Jamison Crowder had higher percentages. Now you take away Jameis Winston, someone who was more than willing to throw the ball into tight coverage all the time, and swap him with one of the most risk averse quarterbacks in football? Evans’ 2.4 yards of separation at target was one of the worst marks among wide receivers, and while it doesn‘t tell the full story, those who watch Evans knows he uses his body extremely well to box out defenders rather than gain multiple yards of separation with precision route running. Look, he‘s still a good player who‘s totaled at least 1,000 yards in each of his first six NFL seasons, so I‘m not completely writing him off, though it does help that he‘s seen at least 8.7 targets per game over the last five years. I don‘t think Brady is as bad as some think at throwing the deep ball anymore, I just don‘t think he does it nearly as often as Winston did/was willing to. I‘m expecting a slight dip in targets and less air yards, which in turn, equals less production for a player like Evans. It‘s not bad if you land him as your WR2, but I wouldn‘t recommend him as a WR1.",12.7,0,0,5.2,89,0.6,0,0,0,165.7,0,0,67,1157,8,0,0,0
26,Chris Carson SEA ,RB15,28.9,6,"If we knew Carson would be healthy the entire season, he‘d be ranked as a top-12 running back. But we don‘t. There is a lot of uncertainty surrounding the Seahawks backfield, as Carson is coming off a season-ending hip injury, while Rashaad Penny is recovering from a torn ACL, and they drafted DeeJay Dallas in the fourth round of the draft. You‘ll want to pay close attention to this backfield as we approach fantasy draft season.",13,0,0,2.5,17.7,0.1,18.5,82,0.5,195.6,0,0,37,266,2,278,1230,7
27,Lamar Jackson BAL ,QB2,31,8,"If we were replaying the 2019 season, Jackson would be the No. 2 pick in fantasy leagues, and it wouldn‘t be a reach. He was behind only Christian McCaffrey in value based drafting score. We talk all the time about regression when it comes to quarterbacks with a high touchdown rate, and Jackson is no different after posting a ridiculous 9.0 percent touchdown rate in 2019. That‘s going to come down. Lowering that mark to 5.0 percent (which is still above average), he would‘ve thrown 20 touchdowns instead of the 36 that he did. However, something to help offset that is his rushing touchdown output. Based on where his carries took place last year, Jackson should‘ve scored closer to 12 rushing touchdowns rather than the seven that he did. The downside to Jackson is that he‘s a bit thinner than you‘d like as a mobile quarterback. While it‘s tough to get a clean hit on him, we have a history of mobile quarterbacks not withstanding a lot of hits. When you invest a second- or third-round pick on a quarterback, you need him on the field. If Jackson were a lock to play all 16 games, he‘d be my QB1 and well worth a second-round pick. When you add in some of that risk, he‘s more of a third-round selection. There were nine separate occasions last year where he delivered 28-plus fantasy points. Those are week-winning performances.",28.1,208.5,2.4,0,0,0,11.7,80.4,0.5,421.68,3127,36,0,0,0,176,1206,7
28,A.J. Brown TEN ,WR9,33.3,7,"WPrior to the NFL Draft last year, I had D.K. Metcalf as my 1A receiver and Brown as my 1B. Loved them both, but Metcalf‘s landing spot moved him into the driver‘s seat. Maybe I underestimated just how much Brown could do without an elite quarterback. Despite not being a full-time player until Week 9 and seeing just 84 targets, Brown finished as the No. 21 wide receiver in his rookie season. There have been just 10 wide receivers over the last 10 years who‘ve finished as a top-24 fantasy receiver while seeing fewer than 87 targets. Going back to when Ryan Tannehill started playing, Brown received a very stable 21 percent target share. That‘s not elite. Not bad, but not elite. Let‘s go from Week 9 through Week 17 when Brown moved to a full-time role. Brown‘s target share was 24 percent in that time, which ranked 10th among wide receivers. If we project Tannehill for 480-500 pass attempts, that‘d amount to 115-120 targets. It is possible Brown‘s target share goes up but staying at 24 percent feels like it‘s repeatable. It‘s important to note that Brown averaged a ridiculous 8.9 yards after the catch last year, a number that isn‘t repeatable. You typically won‘t see even the best of the best receivers average more than 6.0 yards after the catch. If you move Brown down to the 5.5 range, he would‘ve recorded 187 fewer yards and finished as the WR28. Then you must factor in Tannehill‘s ridiculous 7.7 percent touchdown rate regressing, so don‘t automatically assume that Brown‘s efficiency remains the same. He‘s still a phenomenal talent, but he needs to get the bump in pass attempts to take the next step. If I were guaranteed 500 pass attempts out of Tannehill, I‘d draft him as a low-end WR1. It‘s best to be a bit cautious though and have some equity built in, making him a WR2 with serious upside.",10.3,0,0,3.3,65.7,0.5,0.2,3.8,0.1,165.1,0,0,52,1051,8,3,60,1
29,Mark Andrews BAL ,TE3,33.5,8,"The trio of tight ends in Baltimore accounted for a massive 40.2 percent target share last year, which easily led the league. Just one other team (Eagles) had their tight ends see over a 30.0 percent target share. Hayden Hurst is gone, which shifts those targets to the duo of Andrews and Boyle. While I anticipate some of them moving to the wide receivers, it‘s not a bad thing for Andrews supporters. I think many have forgotten just how hard it is for young tight ends to produce elite numbers, yet Andrews posted 852 yards and 10 touchdowns in his sophomore season on a team that threw the ball just 440 times. He‘s very good. With a slight bump in pass attempts for the team overall combined with the exit of Hurst, and we could see Andrews reach 120 targets this season. My issue with Andrews is that he‘s been a bit more inconsistent than the likes of Travis Kelce and George Kittle, so it takes a bit of projecting to see him reach that tier. Andrews played just 46 snaps per game in 2019, while those two averaged 60 snaps. For me, Andrews is in the tier directly behind them alongside Zach Ertz. If you can get him in the late-fourth or early-fifth round, I‘m good with that. If you take him earlier, you‘re have to project 120 targets.",9.5,0,0,4.3,56.8,0.7,0,0,0,143.2,0,0,64,852,10,0,0,0
30,Allen Robinson CHI ,WR10,34.1,11,"We saw a 150-plus target season for Robinson in 2019, which was a rarity among wide receivers. Based on where his targets took place, he had the fourth-most expected fantasy points among wide receivers last year. There‘s little reason to expect that to change, as the Bears lost Taylor Gabriel and replaced him with an older, slower version in Ted Ginn. There were just two games last season where Robinson finished with fewer than seven targets, making him an easy every-week start. In fact, he posted WR2 or better numbers in 62.5 percent of his games, which ranked fifth behind only Michael Thomas, DeAndre Hopkins, Julio Jones, and Davante Adams. The fact that the Bears snagged Nick Foles only helps the Bears receivers, as they have twice the chance at competent quarterback play. Robinson should be considered a high-floor, low-end WR1, as it‘s unlikely he comes with the ceiling of those with better quarterback play.",9.8,0,0,6.1,71.7,0.4,0.1,0.1,0,156.9,0,0,98,1147,7,1,2,0
31,Adam Thielen MIN ,WR11,34.5,7,"It was a down year for Thielen in 2019, who‘s suddenly 30 years old (August 22nd, he will be) with back problems. That‘s not a recipe for success for a wide receiver, though it helps that he‘s the only steady presence at wide receiver. Most will look at the target totals from last year and wonder where his targets come from, but don‘t forget that Thielen saw 298 targets over the previous two seasons. Last year was an incredibly efficient year for the Vikings on the ground, and when you combine the fact that Thielen missed half the season, you can understand why their pass attempts came crashing down to earth. With the defense likely taking a step back after losing many starters, we should expect to see their run-to-pass ratio come back towards the league average, which would help Thielen‘s target potential. Knowing that he‘s the only receiver in the starting lineup who has any chemistry with Cousins, we should expect at least eight targets per game. That calls for him being a high-end WR2 at the very least when he‘s in the lineup, though his injury concerns have to be built into his cost. His current ADP is the WR11, which is too expensive for the risk you‘re taking on.",8.4,0,0,3,41.8,0.6,0.4,0.6,0.1,84.4,0,0,30,418,6,4,6,1
32,Todd Gurley ATL ,RB16,35.3,10,"The Rams offense was in complete disarray last year, as their offensive line started to crumble, which dragged Gurley‘s efficiency down the drain. He did show that he‘s still able to handle a big workload down the stretch, finishing with 98 touches over the final five games. Now going to the Falcons, who have one of the better offensive lines in football, with little competition, Gurley could return to RB1 status. It‘s a high-scoring offense where the running backs have averaged 1,383 yards and 9.7 touchdowns on the ground, while averaging another 572 yards and 4.7 touchdowns through the air over the last three years. With Ito Smith and Brian Hill the only running backs behind him, Gurley should receive most of the work/production.",12.6,0,0,2.1,13.8,0.1,14.9,57.1,0.8,188.4,0,0,31,207,2,223,857,12
33,Odell Beckham Jr. CLE ,WR12,35.5,9,"What in the world happened to Beckham in 2019? If we were replaying last season, we wouldn‘t be drafting him until the fifth or sixth round of fantasy drafts. But that‘s where fantasy players go wrong. That‘s a one-year sample size. We had 59 career games prior to that we can look at where he was the best game-by-game fantasy wide receiver of all-time. Which do you trust? Everyone on the Browns struggled last year and knowing that Beckham was playing through a hernia only added to the disappointment. 2019 was the first year he‘d posted WR2 or better numbers in less than 66.7 percent of his games (which is ridiculous). We know the offense is changing, but that also comes with some concerns. While in Minnesota last year, Kevin Stefanski‘s wide receivers combined for just 201 targets and a 43.1 percent target share, which ranked as the fourth-lowest mark in football. Stefon Diggs, who is also very talented, saw just 94 targets in 15 games last year. While I don‘t expect the Browns to be as run-heavy as the Vikings were, it‘s an added level of concern. But here‘s the thing - it‘s not like a lot of the wide receivers in the 10-15 range don‘t come with similar issues or question marks. Beckham has done it before and has true No. 1 overall wide receiver upside. He‘s in the prime of his career at 27 years old and his only competition for targets (Jarvis Landry) is coming off hip surgery. Getting him as your high-end WR2 is worth it.",8,0,0,4.6,64.7,0.3,0.2,0.6,0,127.3,0,0,74,1035,4,3,10,0
34,Amari Cooper DAL ,WR13,35.7,10,"It‘s somewhat maddening that Cooper can‘t get the 150-plus targets that some do, as he‘s continually one of the most efficient receivers in the league. Did you know Michael Gallup averaged more targets per game than Cooper last year? Cooper‘s injury may have played into that but it didn‘t stop him from being one of the best in the league. Based on the number of his targets and where they took place on the field, Cooper should‘ve finished as the No. 23 wide receiver, and not the No. 9 receiver he did. In fact, he was the only receiver in the league who scored 20-plus more fantasy points than he was expected to in both the red zone and outside the red zone. The addition of CeeDee Lamb isn‘t going to make getting targets any easier for Cooper, who‘s now seen 195 targets in 25 games with the Cowboys. Because he‘s not getting the gaudy numbers that some are, Cooper should be considered a semi-volatile WR2 in fantasy who has more WR1 upside than most on a weekly basis. If Cooper were to get 150 targets, I have zero doubts that he‘d finish as a top-three receiver, but as we‘ve seen, that just doesn‘t happen.",10.5,0,0,4.9,74.3,0.5,0.1,0.4,0,167.5,0,0,79,1189,8,1,6,0
35,James Conner PIT ,RB17,35.8,8,"If Conner were able to stay on the field, he‘d be considered as a top-10 running back in fantasy. Unfortunately, he hasn‘t done that, and it‘s led them to draft Jaylen Samuels, Benny Snell, and now Anthony McFarland. While none of them are better than Conner, it‘s likely we see them take some of the workload away from him in 2020.",11.2,0,0,3.4,25.1,0.3,11.6,46.4,0.4,111.5,0,0,34,251,3,116,464,4
